scope,component,explained_variance_ratio,label,positive_exposures,negative_exposures,interpretation
US,PC1,0.8547467746056935,level,"US 10Y, US 20Y, US 5Y, US 30Y",none,"PC1 is mainly a level factor. A positive score means broadly higher weekly yield changes across the United States curve. It explains 85.5% of standardized weekly-change variance. Positive side: US 10Y, US 20Y, US 5Y, US 30Y. Negative side: none."
US,PC2,0.12466644186157871,slope,"US 30Y, US 20Y, US 10Y","US 2Y, US 5Y","PC2 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 12.5% of standardized weekly-change variance. Positive side: US 30Y, US 20Y, US 10Y. Negative side: US 2Y, US 5Y."
US,PC3,0.01546488507188191,curvature,"US 2Y, US 30Y, US 20Y","US 5Y, US 10Y","PC3 is mainly a curvature factor. A positive score moves the belly of the curve against the wings, similar to a butterfly move. It explains 1.5% of standardized weekly-change variance. Positive side: US 2Y, US 30Y, US 20Y. Negative side: US 5Y, US 10Y."
US,PC4,0.0030283010157476646,slope,"US 10Y, US 2Y, US 20Y","US 5Y, US 30Y","PC4 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 0.3% of standardized weekly-change variance. Positive side: US 10Y, US 2Y, US 20Y. Negative side: US 5Y, US 30Y."
US,PC5,0.0020935974450983145,curvature,"US 30Y, US 10Y","US 20Y, US 5Y, US 2Y","PC5 is mainly a curvature factor. A positive score moves the belly of the curve against the wings, similar to a butterfly move. It explains 0.2% of standardized weekly-change variance. Positive side: US 30Y, US 10Y. Negative side: US 20Y, US 5Y, US 2Y."
EA,PC1,0.7703732569623889,level,"EA 10Y, EA 20Y, EA 5Y, EA 30Y",none,"PC1 is mainly a level factor. A positive score means broadly higher weekly yield changes across the Euro area curve. It explains 77.0% of standardized weekly-change variance. Positive side: EA 10Y, EA 20Y, EA 5Y, EA 30Y. Negative side: none."
EA,PC2,0.15957477076417909,slope,"EA 30Y, EA 20Y","EA 2Y, EA 5Y, EA 10Y","PC2 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 16.0% of standardized weekly-change variance. Positive side: EA 30Y, EA 20Y. Negative side: EA 2Y, EA 5Y, EA 10Y."
EA,PC3,0.05282569407183539,curvature,"EA 10Y, EA 5Y, EA 20Y","EA 2Y, EA 30Y","PC3 is mainly a curvature factor. A positive score moves the belly of the curve against the wings, similar to a butterfly move. It explains 5.3% of standardized weekly-change variance. Positive side: EA 10Y, EA 5Y, EA 20Y. Negative side: EA 2Y, EA 30Y."
EA,PC4,0.015645224603383228,curvature,"EA 20Y, EA 2Y, EA 10Y","EA 5Y, EA 30Y","PC4 is mainly a curvature factor. A positive score moves the belly of the curve against the wings, similar to a butterfly move. It explains 1.6% of standardized weekly-change variance. Positive side: EA 20Y, EA 2Y, EA 10Y. Negative side: EA 5Y, EA 30Y."
EA,PC5,0.0015810535982133372,localized,"EA 10Y, EA 30Y, EA 2Y","EA 20Y, EA 5Y","PC5 is a more localized residual factor. It is driven most by EA 10Y, EA 30Y, EA 2Y, offset against EA 20Y, EA 5Y. It explains 0.2% of standardized weekly-change variance. Positive side: EA 10Y, EA 30Y, EA 2Y. Negative side: EA 20Y, EA 5Y."
JP,PC1,0.7201414200966637,level,"JP 10Y, JP 5Y, JP 20Y, JP 30Y",none,"PC1 is mainly a level factor. A positive score means broadly higher weekly yield changes across the Japan curve. It explains 72.0% of standardized weekly-change variance. Positive side: JP 10Y, JP 5Y, JP 20Y, JP 30Y. Negative side: none."
JP,PC2,0.20920159754170406,slope,"JP 30Y, JP 20Y","JP 2Y, JP 5Y, JP 10Y","PC2 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 20.9% of standardized weekly-change variance. Positive side: JP 30Y, JP 20Y. Negative side: JP 2Y, JP 5Y, JP 10Y."
JP,PC3,0.04723891176655872,curvature,"JP 10Y, JP 5Y","JP 2Y, JP 30Y, JP 20Y","PC3 is mainly a curvature factor. A positive score moves the belly of the curve against the wings, similar to a butterfly move. It explains 4.7% of standardized weekly-change variance. Positive side: JP 10Y, JP 5Y. Negative side: JP 2Y, JP 30Y, JP 20Y."
JP,PC4,0.014237481517399593,slope,"JP 10Y, JP 2Y, JP 20Y","JP 5Y, JP 30Y","PC4 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 1.4% of standardized weekly-change variance. Positive side: JP 10Y, JP 2Y, JP 20Y. Negative side: JP 5Y, JP 30Y."
JP,PC5,0.009180589077673877,localized,"JP 20Y, JP 5Y","JP 30Y, JP 10Y, JP 2Y","PC5 is a more localized residual factor. It is driven most by JP 20Y, JP 5Y, offset against JP 30Y, JP 10Y, JP 2Y. It explains 0.9% of standardized weekly-change variance. Positive side: JP 20Y, JP 5Y. Negative side: JP 30Y, JP 10Y, JP 2Y."
Global,PC1,0.5056758705163533,level,"US 10Y, US 20Y, US 5Y, US 30Y",none,"PC1 is mainly a level factor. A positive score means broadly higher weekly yield changes across the global curve set. It explains 50.6% of standardized weekly-change variance. Positive side: US 10Y, US 20Y, US 5Y, US 30Y. Negative side: none."
Global,PC2,0.16147439842592995,regional spread,"JP 5Y, JP 10Y, JP 20Y, JP 2Y","EA 10Y, EA 5Y, EA 20Y, EA 2Y","PC2 is mainly a regional spread factor. A positive score separates the strongest positive regional loadings from the negative regional loadings. It explains 16.1% of standardized weekly-change variance. Positive side: JP 5Y, JP 10Y, JP 20Y, JP 2Y. Negative side: EA 10Y, EA 5Y, EA 20Y, EA 2Y."
Global,PC3,0.11679952305288335,regional spread,"US 20Y, US 10Y, US 30Y, US 5Y","EA 2Y, EA 5Y, EA 20Y, EA 10Y","PC3 is mainly a regional spread factor. A positive score separates the strongest positive regional loadings from the negative regional loadings. It explains 11.7% of standardized weekly-change variance. Positive side: US 20Y, US 10Y, US 30Y, US 5Y. Negative side: EA 2Y, EA 5Y, EA 20Y, EA 10Y."
Global,PC4,0.08025632972825414,slope,"JP 30Y, JP 20Y, EA 30Y, EA 20Y","JP 2Y, US 2Y, JP 5Y, EA 2Y","PC4 is mainly a slope factor. A positive score raises the long-end exposures relative to the short-end exposures, so it behaves like a steepening move. It explains 8.0% of standardized weekly-change variance. Positive side: JP 30Y, JP 20Y, EA 30Y, EA 20Y. Negative side: JP 2Y, US 2Y, JP 5Y, EA 2Y."
